Plant	Scientific Name	Native Name	Use Icons	Description	Traditional Native Uses	Image	Ohlone Salad Ingredient or Tea
California Sagebrush	Artemisia californica	Miryan  Pronounced: mee-r-yahn  ✅VERIFIED	*Medicine, Tech	Hearty shrub with thin, flexible branches and long, hairy grayish green leaves. Miryan can often be found in open scrublands and chaparral on the hotter and drier south and west facing slopes of šáatošikma (hills). Often found in the open scrublands and chaparral among the Miryan are the weerin (brush rabbit) and the ’ipíhwa (rattlesnake) which often preys on the weerin.	*Medicine: Leaves of the Miryan were tied over wounds or held against a kaayi síit (sore tooth) to reduce pain. Decoctions made from the Miryan were used to bathe patients with colds, coughs, or rheumatism. Decoctions were also taken internally, in addition to poultices placed on a patient’s tummiš (back) and chest, to treat asthma. **Tech/Implements: Fire drills were made from young shoots of Miryan.	https://upload.wikimedia.org/wikipedia/commons/2/23/ArtemisiaCalifornica-GaviotaCA.jpg	No
Great Valley Phacelia	Phacelia ciliata	’Oopmin Tíwwiš Pronounced: ooh-p-mean tee-wwee-sh (Awáswas, Alphonse Pinart, 1878) (Chochenyo) ✅VERIFIED	Medicine??	a soft, hairy annual wildflower, native to the Central Valley and foothills. Produces clusters of bright blue bell-shaped flowers	Attracted bees and butterflies, supported post-fire soil recovery	https://calscape.org/storage/app/species_images/calphotos/images/0000_0000_0517_1216.jpeg	No
Wild Heliotrope	Phacelia distans  (Phacelia crenulata?)	Tapšešte Koro Pronounced: tahp-sheesh-teh koh-roh ✅VERIFIED	Medicine	A low, sprawling plant with hairy stems and small lavender flowers in tight coils. Found in open, sunny areas like grasslands and valleys	Crushed leaves used as a poultice for sores and swelling; also used to ease coughing or chest illnesses	https://static.wixstatic.com/media/4a8160_405c201ffeab4cc5aa9de7af64715f7b~mv2.jpg/v1/fill/w_480,h_320,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/4a8160_405c201ffeab4cc5aa9de7af64715f7b~mv2.jpg	No
Lacy Phacelia	Phacelia tanacetifolia	Potukmin Tíwwiš  Pronounced: pohh-took-mean tee-wwee-sh   (Awáswas, Jerimiah Curtain, 1884) (Chochenyo)  ✅VERIFIED	Medicine	A delicate flower with fern-like leaves and coiled clusters of light purple-blue flowers. Grows in grasslands, chaparral, and disturbed soils	Attracted pollinators (extremely attractive to bees) and improved soil health. Medicine: Some tribes used related species for soothing skin irritations or minor wounds	https://calscape.org/storage/app/ExtData/allimages/Photos/Phacelia_tanacetifolia_image60.jpg0&auto=webp&format=pjpg	No
White Sage	Salvia apiana	Loškowiš Miryan Pronounced: losh-koh-weesh meehr-yahn ✅VERIFIED	Medicine, Food	A tall, good smelling shrub with silvery white leaves and pale lavender flowers. Native to dry slopes and coastal areas of Southern California	Medicine: Burned for purification and ceremony; leaves brewed as tea for colds, sore throats, and indigestion. Food: The flowers are edible.   Are the raw leaves edible?	https://calscape.org/storage/app/ExtData/allimages/Photos/Salvia_apiana_image_34.jpg	Yes - Flowers are edible. Leaves for making Tea.  Are the raw leaves edible?
Common Selfheal	Prunella vulgaris	Káana-k ’Iššeete  Pronounced: kaah-nah-k eesh-eeh-teh  ✅VERIFIED	Medicine, Food	A plant with square stems, purple flower spikes, and oval leaves. Found in meadows, open woods, and moist grasslands	Medicine: Used as a general healing plant applied to cuts, bruises, and sore throats. Leaves made into tea or poultices for inflammation and wounds. Food: The flowers are edible.	https://images.immediate.co.uk/production/volatile/sites/10/2021/07/2048x1365-Prunella-vulgaris_SEO_GettyImages-1324249613-660c6d0.jpg	Yes - Flowers are edible
California Wildrose	Rosa californica	Ripin  Pronounced: ree-pean (Awáswas, Alphonse Pinart 1878)  ✅VERIFIED	*Medicine, Basketry, Food	A shrub with thorny stems, bright pink five-petal flowers, and red rose hips. Grows in valleys, streambanks, and chaparral regions	The flowers are eaten fresh or dried for vitamin C, petals and leaves brewed as tea for colds or digestive issues; stems used in basket making	https://upload.wikimedia.org/wikipedia/commons/0/0e/Rosa_californica_2004-07-20.jpg	Yes - Flowers are edible
Mugwort	Artemisia douglasiana	Híišen Pronounced: hee-shen ✅VERIFIED	*Medicine	*Híišen is an upright and aromatic plant. This plant is known for its calming properties and sage-like scent. It grows to be kaphan (three) to kenéetiš (seven) feet tall and has small flowers that form terminal clusters.	*Medicinal: Híišen has been traditionally used both medicinally and ceremonially. Inhaling the káar (smoke) from its’ burning leaves, helped with ’eete (sleep), sacred dreams, and warding off bad spirits. The káar (smoke) was also used to treat flu, colds and fevers. Híišen, taken as a tea, brought relief from asthma, rheumatism, gastric ailments, stomach aches and urinary problems. Tea was also used to treat women’s ailments such as premenstrual syndrome, painful menstruation, difficult hiswi (childbirth) and menopause. Tikka (chewing) the leaves helped relieve kaayi síit (tooth aches) and gum pain. Fresh leaves have been used to treat and prevent poison oak inflammation. Híišen contains a compound called thujone which is known to cause hallucinations and convulsions. Repellent: Dried, fresh or burned leaves were used as an insect repellent. Leaves were also placed in ’amham (food) storage containers to deter insects, hirehikma (rats), yoššokma (mice), etc...	https://www.gardenia.net/wp-content/uploads/2023/05/artemisia-douglasiana-780x520.webp	
Yerba Buena	Clinopodium douglasii	Čaurismin  Pronounced: chow-rees-mean (Awáswas, Alphonse Pinart 1878)  ✅VERIFIED	Medicine, Food	Čaurismin is a creeping evergreen perennial that can be found in shady woodlands and coastal forests throughout the Bay Area. A minty-scented herb, it has shiny, scalloped leaves and whitish-pink flowers that bloom in midsummer and attract pollinators.	Medicine: Leaves brewed as a calming tea for stomach aches, fevers, and colds; also used as a mild pain reliever and breath freshener. Food: Čaurismin is a native species of mint, and a well-loved plant for making tea. It has a light and ’uyču (sweet) mint flavor when brewed. The fresh leaves and tíwwišikma (flowers) can also be ’ammaakne (eaten) raw or used in cooking. The flowers have a distinct spearmint flavor. The leaves of this native, minty plant also have a similar flavor.	https://calscape.org/storage/app/ExtData/allimages/Photos/Satureja_douglasii_image1.jpg	Yes - for making Tea  Leaves and flowers can also be eaten raw or cooked.
California Hedgenettle	Stachys bullata	Tawwa ’Ínnu  Pronounced: tah-wwah ee-new ✅VERIFIED	Medicine	A leafy plant of the mint family with square stems, serrated leaves, and spikes of small pink to purple flowers. Common in moist meadows, streambanks, and woodland edges	Medicine: Poultices of heated leaves used for earaches and infected sores, cuts, bruises, and swelling; decoctions of boiled roots used as a gargle for sore throats and internally for stomach aches; tea made from the plant used to treat colds and fevers. Tea has anti-inflammatory properties, can help with migraines, arthritis, nerve pain, and menstrual pain. The tea can also be enjoyed and have a relaxing effect	https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Stachys_bullata.jpg/1200px-Stachys_bullata.jpg	(Yes - for making Tea?)
